acousticness,artists,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,popularity,speechiness,tempo,valence,year,Song,Weeks on Chart,Average Previous Week Position,Week Position
0.00224,funkadelic,0.304,361533,0.882,0.0636,1,0.178,-7.68,28,0.105,80.986,0.573,1970,i wanna know if its good to you,4,12.0,35.0
0.0621,ann peebles,0.777,174973,0.457,0.000265,0,0.1369999999999999,-11.894,39,0.0333,99.646,0.8540000000000001,1971,part time love,11,39.0,100.0
0.109,the byrds,0.547,155000,0.342,0.00358,7,0.408,-19.22,27,0.0431,130.846,0.626,1971,you aint going nowhere,5,18.0,47.0
0.304,cher,0.319,152493,0.321,0.0,9,0.144,-11.911,30,0.0289,106.762,0.252,1971,the way of love,13,78.0,169.0
0.726,donny hathaway,0.335,380467,0.202,6.63e-06,1,0.612,-14.228,32,0.0323,82.022,0.155,1971,giving up,5,13.0,35.0
0.865,elvis presley,0.604,98827,0.784,0.0544,1,0.155,-9.757,34,0.0528,104.746,0.8290000000000001,1971,follow that dream,10,70.0,155.0
0.118,them,0.556,365600,0.7290000000000001,0.00338,2,0.259,-10.282,35,0.0327,115.093,0.5579999999999999,1971,gloria,7,18.0,53.0
0.281,heatwave,0.376,374733,0.26,0.0,2,0.13,-13.368,26,0.0306,152.0,0.234,1972,always and forever,20,59.0,149.0
0.922,the 5th dimension,0.233,190213,0.216,0.0408,10,0.118,-15.737,29,0.0333,153.566,0.155,1972,if i could reach you,15,73.0,164.0
0.81,diana ross,0.354,141133,0.181,5.78e-05,5,0.136,-13.017,32,0.0485,60.99,0.264,1972,good morning heartache,13,49.0,120.0
0.8140000000000001,stevie wonder,0.512,180200,0.47,9.53e-05,1,0.234,-14.505999999999998,26,0.0654,132.033,0.721,1972,you are the sunshine of my life,17,80.0,180.0
0.0226,melba moore,0.7240000000000001,304733,0.725,0.0336,2,0.0445,-11.93,31,0.0395,106.156,0.909,1972,you stepped into my life,7,43.0,96.0
0.209,johnny nash,0.6709999999999999,182707,0.5670000000000001,0.00648,2,0.139,-6.513999999999999,29,0.0386,85.35799999999998,0.902,1972,stir it up,14,71.0,160.0
0.0438,jd souther,0.562,226667,0.634,4.39e-05,9,0.242,-7.667999999999997,29,0.0262,109.017,0.636,1972,youre only lonely,21,68.0,169.0
0.274,the ojays,0.7,172240,0.542,0.0,5,0.187,-11.130999999999998,28,0.0469,118.481,0.905,1972,time to get down,12,40.0,122.0
0.057,stevie wonder,0.612,267733,0.583,0.0194,1,0.0857,-14.182,26,0.0667,100.813,0.878,1972,superstition,16,78.0,180.0
0.746,aretha franklin,0.425,222173,0.231,0.0,10,0.272,-13.895,31,0.0391,118.373,0.213,1972,oh me oh my im a fool for you baby,4,23.0,49.0
0.37,the supremes,0.696,160200,0.598,0.000108,4,0.166,-9.58,35,0.0751,128.532,0.784,1972,automatically sunshine,9,51.0,115.0
0.552,curtis mayfield,0.779,240160,0.7759999999999999,0.000113,2,0.0998,-7.393,26,0.1369999999999999,119.889,0.7609999999999999,1972,superfly,15,78.0,167.0
0.215,the osmonds,0.512,153173,0.977,0.0,2,0.343,-4.505,41,0.0671,120.165,0.731,1972,crazy horses,12,66.0,156.0
0.0527,the jimmy castor bunch,0.797,217896,0.653,0.0043,5,0.0801,-14.226,32,0.0722,133.29399999999998,0.861,1972,troglodyte cave man,12,79.0,171.0
0.665,frank sinatra,0.197,211067,0.353,0.0,0,0.106,-15.316,41,0.0305,85.506,0.478,1973,let me try again laisse moi le temps,10,24.0,67.0
