Song,Performer,Weeks on Chart,Average Previous Week Position,Week Position
lets get serious,jermaine jackson,23,37,98
lets get the mood right,johnny gill,18,74,100
lets get together,hayley mills and hayley mills,14,28,69
lets get together,we five,8,57,74
lets give adam and eve another chance,gary puckett and the union gap,7,54,63
lets go,calvin harris featuring neyo,20,36,75
lets go,floyd cramer,2,98,90
lets go,the cars,15,37,96
lets go,trick daddy featuring lil jon  twista,22,23,57
lets go,wang chung,18,35,96
lets go again where we went last night,hank ballard and the midnighters,6,65,82
lets go all the way,sly fox,25,40,95
lets go crazy,prince and the revolution,21,24,93
lets go dancin ooh la la la,kool  the gang,15,49,97
lets go get stoned,ray charles,9,49,64
lets go lets go lets go,hank ballard and the midnighters,16,31,77
lets go out tonight,nile rodgers,3,90,98
lets go pony,the routers,13,44,73
lets go round again,average white band,8,65,100
lets go steady again,neil sedaka,9,46,70
lets go steady for the summer,the three gs,3,65,80
lets go through the motions from whos the man,jodeci,12,73,100
lets go trippin,dick dale and the deltones,10,82,91
lets go up,diana ross,6,81,96
lets groove,earth wind  fire,24,31,97
lets hang on,barry manilow,10,54,98
lets hang on,the 4 seasons featuring the sound of frankie valli,16,18,60
lets have a party,wanda jackson,10,50,58
lets hear it for the boy,deniece williams,19,20,76
lets kiss and make up,bobby vinton,9,49,65
lets lay together from dont be a menace,the isley brothers,5,94,99
lets limbo some more,chubby checker,10,31,49
lets link,whoheem,3,88,96
lets live for today,the grass roots,12,30,66
lets live together,cazz,5,76,77
lets live together,the road apples,14,61,98
lets lock the door and throw away the key,jay  the americans,10,33,62
lets love,johnny mathis,9,58,85
lets make a baby,billy paul,4,87,87
lets make a night to remember,bryan adams,23,36,52
lets make a promise,peaches  herb,4,82,79
lets make each other happy,the illusion,2,98,98
lets make love,faith hill with tim mcgraw,14,68,91
lets make love tonight,bobby rydell,2,100,98
lets move  groove together,johnny nash,7,96,98
lets play house,tha dogg pound featuring michelle,16,58,97
lets pretend,raspberries,16,49,76
lets pretend were married,prince,10,70,92
lets put it all together,the stylistics,12,38,59
lets put the fun back in rock n roll,freddy cannon  the belmonts,4,84,99
lets put the x in sex,kiss,2,97,99
lets ride,montell jordan feat master p  silkk the shocker,21,21,67
lets ride,richie rich,13,76,88
lets ride,the game,5,55,89
lets rock,ellison chase,3,95,93
lets spend the night together,the rolling stones,8,63,75
lets start all over again,ronnie dove,8,40,68
lets stay home tonight,joe,12,77,100
lets stay together,al green,16,15,38
lets stay together,isaac hayes,7,55,58
lets stay together,tina turner,15,44,92
lets stomp,bobby comstock,6,69,79
lets straighten it out,latimore,12,55,79
lets talk about me,the alan parsons project,10,70,97
lets talk about sex,saltnpepa,20,36,82
lets think about living,bob luman,14,31,71
lets try again,clyde mcphatter,8,65,87
lets try it again,new kids on the block,8,67,98
lets turkey trot,little eva,10,39,62
lets twist again,chubby checker,24,34,65
lets wait awhile,janet jackson,19,31,93
lets work,mick jagger,9,55,100
lets work together,canned heat,11,44,66
lets work together part 1,wilbert harrison,13,52,80
letter from sherry,dale ward,11,48,74
letter full of tears,gladys knight and the pips,13,50,80
letter to lucille,tom jones,8,80,91
letter to me,brad paisley,20,59,85
letter to nipsey,meek mill featuring roddy ricch,2,80,73
letters from home,john michael montgomery,20,45,80
lettin the night roll,justin moore,20,71,99
letting go,wings,6,50,64
letting go dutty love,sean kingston featuring nicki minaj,20,49,98
level of concern,twenty one pilots,11,56,90
level up,ciara,6,67,91
levels,avicii,20,70,80
levels,nick jonas,12,60,99
levitate,hadouken,15,84,100
levitating,dua lipa featuring dababy,33,18,54
levon,elton john,10,40,57
liar,camila cabello,11,55,72
liar,profyle,20,45,99
liar,three dog night,12,24,40
liar liar,the castaways,14,43,91
licence to chill,billy ocean,9,51,81
lick it,roula,15,81,99
lick it up,kiss,11,74,99
lick u up,htown,11,79,95
licking stick  licking stick part 1,james brown and the famous flames,8,28,33
lido shuffle,boz scaggs,17,31,98
lie,nf,20,69,97
lie to me,brook benton,10,32,56
lie to mesomething for the pain,bon jovi,9,84,99
lies,emf,14,56,99
lies,en vogue,11,56,97
lies,jj cale,8,55,72
lies,jonathan butler,14,46,88
lies,the knickerbockers,13,43,80
lies,thompson twins,16,50,98
life,kci  jojo,17,81,95
life,sly  the family stone,3,93,93
life after you,daughtry,20,50,64
life aint always beautiful,gary allan,16,75,92
life aint easy,cleopatra,5,83,81
life aint easy,dr hook and the medicine show,7,77,84
life and breath,climax featuring sonny geraci,15,69,89
life and death in g  a,abaco dream,6,84,87
life and death in ga,love childs afro cuban blues band,3,92,90
life changes,thomas rhett,14,57,78
life during wartime this aint no partythis aint no discothis aint,talking heads,5,86,88
life everybody needs somebody to love,haddaway,16,59,100
life gets better,graham parker,2,96,94
life goes on,bts,3,14,93
life goes on,lil baby featuring gunna  lil uzi vert,6,84,92
life goes on,poison,13,61,89
life in a northern town,sugarland featuring little big town  jake owen,3,55,83
life in a northern town,the dream academy,21,38,100
life in mono,mono,15,79,98
life in one day,howard jones,16,44,99
life in the fast lane,eagles,14,33,100
life is a carnival,the band,6,75,75
life is a highway,rascal flatts,20,40,77
life is a highway,tom cochrane,26,24,61
life is a rock but the radio rolled me,reunion,15,34,86
life is a song worth singing,johnny mathis,12,76,94
life is good,future featuring drake,38,16,41
life is worth living,justin bieber,2,67,89
life of the party,shawn mendes,2,24,82
lifeline,papa roach,2,81,88
lifeonly believe,elvis presley,7,63,69
lifes a mess,juice wrld x halsey,6,58,97
lifes been good,joe walsh,15,32,97
lifes too short,the lafayettes,3,90,94
lifes what you make it,hannah montana,4,43,72
lifes what you make it,talk talk,4,94,93
lifestyle,jason derulo featuring adam levine,5,79,81
lifestyle,rich gang featuring young thug  rich homie quan,25,36,74
lifestyles of the rich and famous,good charlotte,20,50,100
lifestyles of the rich and shameless,lost boyz,6,94,95
lifetime,maxwell,20,45,66
lift me up,howard jones,15,53,96
lift me up,yes,5,88,100
light in your eyes,blessid union of souls,19,69,98
light it up,luke bryan,18,71,91
light it up,major lazer featuring nyla  fuse odg,20,84,98
light my fire,jose feliciano,12,16,32
light my fire,the doors,23,36,91
light my fire137 disco heaven,amii stewart,6,74,95
light of a clear blue morning,dolly parton,5,90,92
light of day,the barbusters joan jett and the blackhearts,11,52,99
light of love,peggy lee,6,71,88
light on,david cook,20,51,91
light sings,the 5th dimension,8,54,62
light the sky on fire,jefferson starship,6,74,99
light up the world with sunshine,hamilton joe frank  dennison,5,78,79
light your a on fire,busta rhymes,10,70,95
lighters,bad meets evil featuring bruno mars,22,16,58
lighters up,lil kim,13,50,93
lightnin strikes,lou christie,15,29,82
lightning does the work,chad brock,12,91,97
lightnings girl,nancy sinatra,7,38,49
lights,ellie goulding,57,36,92
lights,journey,17,83,99
lights and sounds,yellowcard,10,68,94
lights camera action,mr cheeks,30,43,95
lights come on,jason aldean,19,67,98
lights down low,max featuring gnash,27,51,90
lights out,peter wolf,14,27,76
lights up,harry styles,3,42,95
like a baby,len barry,9,45,67
like a boy,ciara,20,34,61
like a child,julie rogers,5,80,87
like a child,noel,8,81,99
like a cowboy,randy houser,14,77,96
like a g6,fareast movement featuring cataracs  dev,26,18,69
like a pimp,david banner featuring lil flip,20,70,96
like a prayer,glee cast featuring jonathan groff,2,27,96
like a prayer,madonna,16,21,98
like a rock,bob seger,13,31,91
like a rolling stone,bob dylan,12,26,76
like a sad song,john denver,7,49,63
like a star,corinne bailey rae,2,56,95
like a stone,audioslave,20,45,70
like a sunday in salem the amos  andy song,gene cotton,10,57,97
like a sunday morning,lana cantrell,5,79,84
like a surgeon,weird al yankovic,8,61,94
like a virgin,madonna,19,20,100
like a woman,the tony rich project,15,59,100
like a wrecking ball,eric church,22,68,96
like an old time movie,scott mckenzie,7,43,59
like an open door,the fuzz,3,80,77
like flames,berlin,5,88,95
like glue,sean paul,20,38,84
like i do,for real,8,81,100
like i love you,edd byrnes and friend,9,57,76
like i love you,justin timberlake,20,27,59
like i loved you,brett young,19,66,91
like i want you,giveon,3,98,100
like i would,zayn,3,74,93
like im gonna lose you,meghan trainor featuring john legend,39,33,77
like its christmas,jonas brothers,4,62,61
like jesus does,eric church,17,71,86
like long hair,paul revere  the raiders,6,62,83
like my mother does,lauren alaina,2,20,60
like no other night,thirty eight special,16,40,95
like red on a rose,alan jackson,5,88,90
like strangers,the everly brothers,10,48,70
like that,doja cat featuring gucci mane,18,64,85
like the big guys do,the rocky fellers,5,65,69
like the way i doif i wanted to,melissa etheridge,20,29,66
like the weather,10000 maniacs,8,79,100
like they say in la,east la car pool,6,78,96
like this,kelly rowland featuring eve,20,59,89
like this,mims,20,60,93
like to get to know you,spanky and our gang,11,35,61
like to get to know you well,howard jones,9,61,94
like toy soldiers,eminem,11,50,94
like we never loved at all,faith hill,21,61,92
like whoa,aly  aj,7,76,99
like you,bow wow featuring ciara,21,16,50
like you,daddy yankee,7,92,95
like youll never see me again,alicia keys,24,26,46
like young,andre previn with david rose,12,61,86
lil bit,nelly  florida georgia line,9,80,99
lil freak,usher featuring nicki minaj,16,53,87
lil red riding hood,sam the sham and the pharaohs,14,25,93
lil top,youngboy never broke again,2,28,73
lili marlene,al martino,7,92,96
lily was here,david a stewart introducing candy dulfer,16,39,92
limbo rock,chubby checker,23,24,79
limbo rock,the champs,13,62,89
limelight,mr acker bilk,3,96,93
limelight,rush,9,68,98
linda,jan  dean,13,52,86
linda lu,ray sharpe,13,73,90
linda on my mind,conway twitty,8,71,93
linger,the cranberries,24,29,77
lingtingtong,buddy knox,7,77,90
lion king on ice,j cole,2,51,97
lions tigers  bears,jazmine sullivan,8,86,96
lip gloss,lil mama,11,34,96
lip sync to the tongue twisters,len barry,4,87,86
lips are movin,meghan trainor,29,22,70
lips of an angel,hinder,33,22,77
lipstick,michel polnareff,7,67,99
lipstick,suzi quatro,9,66,95
lipstick on your collar,connie francis,17,22,89
lipstick traces on a cigarette,benny spellman,6,88,96
lipstick traces on a cigarette,the ojays,7,64,77
liquid dreams,otown,12,25,59
liquid swords,geniusgza,7,67,96
liquor,chris brown,17,72,99
lisa,ferrante  teicher,2,100,98
lisa,jeanne black,9,61,78
lisa listen to me,blood sweat  tears,6,80,80
listen,beyonce,12,77,91
listen,collective soul,11,80,96
listen here,brian auger  the trinity,2,100,100
listen here,eddie harris,13,66,84
listen like thieves,inxs,9,64,89
listen lonely girl,johnny mathis,8,77,82
listen me tic woyoi,ini kamoze,5,93,100
listen people,hermans hermits,9,15,49
listen theyre playing my song,ray charles,2,92,92
listen to her heart,tom petty,6,71,88
listen to the band,the monkees,8,79,97
listen to the buddha,ozo,3,98,98
listen to the music,the doobie brothers,13,32,62
listen to what the man said,wings,14,18,57
listen to your heart,dht,27,28,71
listen to your heart,roxette,22,31,98
lithium,nirvana,9,80,98
little altar boy,vic dana,9,59,78
little arrows,leapy lee,14,40,70
little band of gold,james gilreath,12,49,91
little bell,the dixie cups,9,69,88
little bird,annie lennox,12,65,99
little bit o soul,the music explosion,16,21,73
little bit of everything,keith urban,20,57,92
little bit of life,craig morgan,13,87,97
little bit of love,dwight twilley,4,80,94
little bit of soap,nigel olsson,12,50,99
little bit of you,chase bryant,11,84,89
little bitty,alan jackson,10,69,95
little bitty girl,bobby rydell,15,36,83
little bitty pretty one,clyde mcphatter,8,40,53
little bitty pretty one,frankie lymon,4,70,74
little bitty pretty one,jackson 5,9,25,39
little black book,jimmy dean,9,45,61
little boxes,pete seeger,8,81,86
little boxes,the womenfolk,3,92,83
little boy,the crystals,3,95,96
little boy blue,huelyn duvall,3,90,93
little boy in grown up clothes,the 4 seasons,6,72,77
little boy sad,johnny burnette,9,29,46
little brass band,david seville,2,97,78
little by little,robert plant,11,50,77
little children,billy j kramer with the dakotas,15,24,61
little coco palm,jerry wallace,9,57,89
little darlin,sheila,9,63,79
little darling i need you,marvin gaye,7,62,73
little darling i need you,the doobie brothers,7,60,87
little deuce coupe,the beach boys,11,38,63
little devil,neil sedaka,9,27,49
little diane,dion,11,28,53
little dipper,the mickey mozart quintet,10,40,72
little donna,the rivieras,3,94,93
little drummer boy,pentatonix,3,32,64
little eeefin annie,joe perkins,5,83,87
little egypt yingyang,the coasters,12,52,89
little fighter,white lion,14,67,91
little games,the yardbirds,6,61,66
little girl,ritchie valens,2,97,92
little girl,syndicate of sound,10,28,51
little girl gone,donna fargo,10,69,88
little goodbyes,shedaisy,20,65,95
little green apples,oc smith,17,27,78
little green apples,patti page,2,98,96
little green apples,roger miller,9,45,59
little green bag,george baker selection,13,40,70
little honda,the beach boys,5,76,78
little honda,the hondells,12,30,60
little jackie wants to be a star,lisa lisa and cult jam,11,48,95
little jeannie,elton john,21,20,97
little lady,duke jupiter,7,76,100
little latin lupe lu,mitch ryder and the detroit wheels,9,37,60
little latin lupe lu,the kingsmen,9,60,78
little latin lupe lu,the righteous brothers,7,63,73
little liar,joan jett  the blackhearts,20,43,98
little lies,fleetwood mac,21,33,93
little lion man,mumford  sons,21,76,94
little lonely one,tom jones,9,58,74
little man,alan jackson,17,58,94
little man,sonny  cher,7,37,44
little marie,chuck berry,6,76,93
little mary,fats domino,2,95,72
little miracles happen every day,luther vandross,10,74,89
little miss,sugarland,14,82,91
little miss cant be wrong,spin doctors,20,40,78
little miss sad,the five emprees,6,85,91
little miss stuckup,the playmates,5,81,83
little moments,brad paisley,20,54,83
little old wine drinker me,robert mitchum,2,98,96
little ole man uptighteverythings alright,bill cosby,11,26,55
little ole wine drinker me,dean martin,6,52,59
little one,chicago,9,64,92
little pedro,the olympics,4,83,100
little queen,heart,6,74,92
little queenie,bill blacks combo,4,84,79
little queenie,chuck berry,4,87,93
little red corvette,prince,24,30,86
little red rented rowboat,joe dowell,9,53,75
little red riding hood,big bopper,3,81,93
little red rooster,sam cooke,10,27,44
little red wagon,miranda lambert,11,77,93
little sheila,slade,3,90,88
little sister,elvis presley,13,23,56
little sister,queens of the stone age,9,91,100
little star,bobby callender,2,98,95
little star,the elegants,17,15,82
little suzi,tesla,3,93,96
little talks,of monsters and men,48,52,88
little thing called love,neil young,6,78,95
little things,bobby goldsboro,12,38,83
little things,indiaarie,13,92,100
little things,one direction,18,58,100
little things mean a lot,joni james,9,56,86
little tin soldier,the toy dolls,4,86,85
little too late,pat benatar,14,42,100
little town flirt,del shannon,14,42,81
little toy guns,carrie underwood,18,67,86
little turtle dove,otis williams and his charms,2,99,98
little walter,tony toni tone,10,66,89
little white church,little big town,20,73,93
little willy,the sweet,23,38,92
little woman,bobby sherman,13,20,66
little wonders,rob thomas,16,71,92
litty,meek mill featuring tory lanez,4,71,89
live,the merrygoround,4,75,69
live a little,kenny chesney,12,70,90
live and die for hip hop,kris kross,10,79,100
live and learn,joe public,21,20,50
live and let die,guns n roses,16,57,95
live and let die,wings,14,18,44
live every minute,ali thomson,11,59,95
live every moment,reo speedwagon,11,50,85
live for life,jack jones,2,100,99
live for loving you,gloria estefan,20,37,73
live from the gutter,drake  future,5,84,93
live is life,opus,16,53,81
live it up,gardner cole,3,91,96
live it up,jennifer lopez featuring pitbull,6,70,82
live it up part 1,the isley brothers,16,73,91
live laugh love,clay walker,11,88,98
live like were dying,kris allen,29,34,70
live like you were dying,tim mcgraw,23,37,62
live my life from the film hiding out,boy george,12,58,95
live to tell,madonna,18,23,100
live while were young,one direction,16,52,94
live wire,martha  the vandellas,7,52,62
live your life,ti featuring rihanna,28,13,48
live your life before you die,the pointer sisters,5,94,97
livin above your head,jay  the americans,5,80,83
livin aint livin,firefall,8,57,93
livin for the weekend,the ojays,12,40,94
livin for you,al green,11,35,57
livin in desperate times,olivia newtonjohn,10,43,99
livin in the life,the isley brothers,8,53,99
livin in the light,caron wheeler,10,71,97
livin it up,ja rule featuring case,25,19,61
livin it up friday night,bell  james,16,41,88
livin la vida loca,ricky martin,20,11,55
livin on a prayer,bon jovi,21,29,97
livin on the edge,aerosmith,20,40,85
livin our love song,jason michael carroll,16,70,92
livin right,glenn frey,4,92,98
livin thing,electric light orchestra,18,31,60
living,dierks bentley,16,69,96
living a lie,al martino,10,42,74
living a little laughing a little,the spinners,7,53,83
living and living well,george strait,20,45,72
living doll,cliff richard and the drifters,13,48,69
living doll,david hill,2,92,93
living eyes,bee gees,10,60,78
living for the city,ray charles,3,96,92
living for the city,stevie wonder,17,24,58
living for the night,george strait,17,69,93
living for you,sonny  cher,2,97,87
living in a box,living in a box,15,43,100
living in a dream,pseudo echo,9,71,98
living in a fantasy,leo sayer,12,50,100
living in a house divided,cher,8,38,54
living in america,james brown,19,32,76
living in danger,ace of base,20,39,91
living in fast forward,kenny chesney,17,70,98
living in oblivion,anything box,10,74,81
living in sin,bon jovi,19,34,100
living in the background,baltimora,4,89,98
living in the past,jethro tull,14,31,62
living in the usa,the steve miller band,9,69,95
living inside myself,gino vannelli,20,26,90
living it down,freddy fender,4,78,99
living loving maid shes just a woman,led zeppelin,5,76,76
living next door to alice,smokie,20,49,96
living on the edge,jim capaldi,5,82,84
living on video,transx,12,71,100
living together growing together,the 5th dimension,9,48,64
living without you,manfred manns earth band,7,77,81
livingston saturday night,jimmy buffett,6,69,79
lizzie and the rainman,tanya tucker,9,59,85
lizzie borden,the chad mitchell trio,8,67,82
lllies,diana king,15,79,100
lo mein,lil uzi vert,3,25,87
lo mucho que te quiero the more i love you,rene  rene,12,35,61
lo que son las cosas,anais,3,88,100
loaded,ricky martin,2,97,100
loca,shakira featuring dizzee rascal,11,79,100
location,khalid,43,34,70
locked away,r city featuring adam levine,27,25,60
locked out of heaven,bruno mars,36,14,49
locked up,akon featuring styles p,27,35,94
locking up my heart,the marvelettes,9,56,69
lockjaw,french montana featuring kodak black,13,84,99
loco,david lee murphy,18,66,99
loco,enrique iglesias featuring romeo santos,4,84,99
locomotive breath,jethro tull,8,70,82
loddy lo,chubby checker,13,31,63
lodi,al wilson,7,73,81
lodi,creedence clearwater revival,4,64,59
lol ,trey songz featuring gucci mane  soulja boy tellem,8,60,85
lola,the kinks,20,43,87
lolita yaya,the ventures,7,75,81
lolli lolli pop that body,three 6 mafia featuring project pat young d  superpower,20,35,75
lollipop,framing hanley,10,92,99
lollipop,lil wayne featuring static major,28,13,47
lollipop candyman,aqua,17,57,100
lollipops and roses,jack jones,8,78,89
lollipops and roses,paul petersen,7,68,79
lolly,maejor ali featuring juicy j  justin bieber,3,46,96
london bridge,fergie,21,19,75
london town,wings,8,52,89
loneliness made me realize its you that i need,the temptations,9,26,40
lonely,akon,20,27,80
lonely,bobby vinton,8,37,50
lonely,justin bieber  benny blanco,20,26,53
lonely again,eddy arnold,2,88,87
lonely and gone,montgomery gentry,19,74,99
lonely blue boy,conway twitty,15,31,100
lonely blue nights,rosie,4,75,86
lonely boy,andrew gold,21,34,99
lonely boy,paul anka,15,10,37
lonely boy,the black keys,20,80,99
lonely boy lonely guitar,duane eddy,5,90,92
lonely child,youngboy never broke again,7,61,97
lonely days,bee gees,14,22,56
lonely drifter,pieces of eight,8,71,88
lonely drifter,the ojays,2,96,93
lonely eyes,chris young,18,68,79
lonely eyes,robert john,11,53,96
lonely for you,gary stites,14,50,87
lonely guitar,annette,11,66,94
lonely if you are,chase rice,6,94,94
lonely in love,giuffria,8,68,100
lonely is the name,sammy davis jr,3,94,99
lonely is the night,air supply,8,82,96
lonely man,elvis presley with the jordanaires,5,49,63
lonely night angel face,captain  tennille,19,24,99
lonely nights,bryan adams,2,88,84
lonely no more,rob thomas,34,26,62
lonely ol night,john mellencamp,20,39,100
lonely people,america,14,27,66
lonely saturday night,don french,3,82,80
lonely school,tommy shaw,9,72,95
lonely school year,the hudson brothers,5,70,73
lonely soldier,mike williams,5,78,85
lonely street,andy williams,16,23,64
lonely street,clarence henry,6,70,72
lonely summer,the shades of blue,6,79,85
lonely teardrops,brian hyland,8,70,86
lonely teardrops,jackie wilson,21,26,72
lonely teardrops,narvel felts,4,74,74
lonely teenager,dion,16,34,72
lonely together,barry manilow,10,60,97
lonely tonight,blake shelton featuring ashley monroe,17,59,88
lonely weekends,charlie rich,21,50,95
lonely wind,kansas,5,65,94
lonely winds,the drifters,9,73,96
lonely wont leave me alone,glenn medeiros,11,79,97
lonesome loser,little river band,18,24,98
lonesome mary,chilliwack,3,79,81
lonesome number one,don gibson,3,62,75
lonesome old house,don gibson,3,74,81
lonesome road,the wonder who,4,93,91
lonesome town,ricky nelson,18,18,60
lonesome whistle blues,freddy king,4,91,91
long ago and far away,james taylor,8,46,58
long ago tomorrow,bj thomas,7,76,85
long and lasting love once in a lifetime,glenn medeiros,10,80,96
long and lonesome road,the shocking blue,5,82,89
long as the rose is red,florraine darlin,7,74,77
long black train,josh turner,18,83,100
long cool woman in a black dress,the hollies,15,19,50
long dark road,the hollies,11,45,73
long gone lonesome blues,hank williams jr,9,77,85
long green,the fireballs,7,82,91
long haired country boy,the charlie daniels band,8,69,77
long haired lover from liverpool,little jimmy osmond with the mike curb congregation,10,59,96
long hot summer,keith urban,18,62,99
long hot summer nights,wendy waldman,4,83,80
long legged girl with the short dress on,elvis presley with the jordanaires,5,72,71
long line rider,bobby darin,3,81,81
long live,florida georgia line,17,62,93
long live love,sandie shaw,3,100,99
long live our love,the shangrilas,6,50,55
long live rock,the who,6,64,94
long lonely nights,bobby vinton,7,37,48
long lonely nights,the dells,4,83,75
long lonesome highway,michael parks,12,43,85
long long time,linda ronstadt,12,42,73
long long way from home,foreigner,14,41,70
long promised road,the beach boys,5,92,92
long road to ruin,foo fighters,12,94,100
long tall glasses i can dance,leo sayer,15,34,70
long tall shorty,tommy tucker,2,99,96
long tall texan,murry kellum,11,69,93
long time,boston,10,33,82
long time gone,dixie chicks,20,51,90
long time lovin you,mcguffey lane,7,90,100
long time to be alone,the new colony six,4,97,97
long train runnin,the doobie brothers,18,32,67
long trip alone,dierks bentley,12,80,97
long way 2 go,cassie,2,97,100
long way to love,britny fox,2,100,100
longer,dan fogelberg,22,36,100
longfellow serenade,neil diamond,15,29,79
look after you,the fray,10,71,99
look alive,blocboy jb featuring drake,25,15,44
look alive,rae sremmurd,6,74,94
look at granny run run,howard tate,7,82,87
look at her now,selena gomez,3,44,87
look at me,dobie gray,2,91,91
look at me,xxxtentacion,20,56,74
look at me girl,bobby vee and the strangers,8,69,81
look at me im in love,the moments,8,53,68
look at me now,chris brown featuring lil wayne  busta rhymes,27,17,48
look at mine,petula clark,3,90,90
look at that cadillac,stray cats,5,77,95
look at us,sarina paris,20,75,100
look at you,big  rich,14,84,96
look away,chicago,24,28,99
look away,garnet mimms,5,78,77
look back at it,a boogie wit da hoodie,31,42,96
look for a star,billy vaughn and his orchestra,12,41,73
look for a star,deane hawley,11,46,68
look for a star,garry miles,13,33,66
look for a star  part i,garry mills,11,50,78
look here comes the sun,the sunshine company,5,59,61
look homeward angel,the monarchs,13,61,69
look in my eyes,the chantels,12,34,50
look in my eyes pretty woman,tony orlando  dawn,12,32,63
look into my eyes,george lamond,13,76,96
look into my eyes from batman  robin,bone thugsnharmony,20,34,89
look into your heart,aretha franklin,4,85,84
look my way,the vels,6,80,96
look of love,lesley gore,9,48,71
look out any window,bruce hornsby  the range,12,54,99
look over your shoulder,the ojays,5,91,90
look through any window,the hollies,12,56,86
look through my window,the mamas  the papas,7,37,51
look to your soul,johnny rivers,7,56,62
look what god gave her,thomas rhett,20,55,82
look what theyve done to my song ma,ray charles,6,71,84
look what theyve done to my song ma,the new seekers featuring eve graham,12,31,52
look what you done for me,al green,12,15,33
look what you made me do,taylor swift,19,31,72
look what youve done,jet,20,52,90
look what youve done,pozo seco singers,9,54,79
look what youve done to me,boz scaggs,17,36,94
look what youve done to my heart,marilyn mccoo  billy davis jr,7,62,76
look whos blue,don gibson,10,65,79
lookin at me,mase featuring puff daddy,19,23,51
lookin back,bob seger,2,98,96
lookin boy,hot stylz featuring yung joc,11,64,89
lookin for a good time,lady antebellum,15,77,94
lookin for a love,bobby womack,17,36,80
lookin for a love,the valentinos,8,83,87
lookin for love,johnny lee,21,33,97
lookin for love,ray conniff and the singers,2,94,94
lookin for that girl,tim mcgraw,4,91,92
lookin out for 1,bachmanturner overdrive,6,71,96
lookin out my back doorlong as i can see the light,creedence clearwater revival,13,14,36
lookin through the windows,jackson 5,10,35,61
looking back,joe simon,6,90,94
looking for a fox,clarence carter,8,76,88
looking for a love,the j geils band,10,55,70
looking for a new love,jody watley,19,26,95
looking for a stranger,pat benatar,10,52,96
looking for love,connie francis,7,60,69
looking for mr do right,jade,14,83,100
looking for space,john denver,8,41,67
looking for you,kirk franklin,20,78,99
looking over my shoulder,til tuesday,5,71,92
looking through patient eyes,pm dawn,21,17,48
looking through the eyes of love,gene pitney,8,47,67
looking through the eyes of love,the partridge family starring shirley jones featuring david cassidy,8,58,73
looking through your eyes,leann rimes,24,29,48
looking with my eyes,dionne warwick,8,79,86
lookka py py,the meters,10,73,91
looks like love again,dann rogers,11,57,79
looks like we made it,barry manilow,19,28,80
looks that kill,motley crue,10,70,99
looky looky look at me girl,the ojays,2,99,98
loop de loop,johnny thunder,11,26,61
loose booty,sly  the family stone,4,86,85
lord knows,meek mill,2,88,96
lord mr ford,jerry reed,7,82,93
lorelei,styx,14,51,80
lose again,linda ronstadt,5,81,79
lose control,missy elliott featuring ciara  fat man scoop,28,23,72
lose her,bobby rydell,4,79,79
lose it,kane brown,20,68,94
lose my breath,destinys child,23,12,43
lose my mind,brett eldredge,20,65,92
lose my mind,young jeezy featuring plies,15,56,87
lose you to love me,selena gomez,23,14,47
lose yourself,eminem,23,9,43
loser,3 doors down,20,67,76
loser,beck,24,33,58
loser like me,glee cast,3,30,79
losers weepers  part i,etta james,3,96,95
losin control,russ,19,77,95
losin myself,debbie gibson,5,90,92
losing grip,avril lavigne,6,67,93
losing my religion,dia frampton,2,54,89
losing my religion,rem,21,29,99
losing sleep,chris young,19,74,94
losing you,brenda lee,13,26,56
losing you,dusty springfield,4,94,95
losing you,mocca soul,2,99,100
losing your love,jim reeves,3,90,89
lost,coldplay with jayz,5,40,83
lost,faith hill,2,61,93
lost,gorilla zoe,11,84,96
lost,jerry butler,6,70,79
lost boy,ruth b,22,45,87
lost her in the sun,john stewart,13,53,97
lost horizon,shawn phillips,6,71,75
lost in emotion,lisa lisa and cult jam,20,32,100
lost in japan,shawn mendes x zedd,16,68,99
lost in love,air supply,23,27,96
lost in love,nastyboy klick,9,62,68
lost in love,new edition,14,54,93
lost in the fire,gesaffelstein  the weeknd,6,42,61
lost in this moment,big  rich,20,52,75
lost in you,garth brooks as chris gaines,10,29,91
lost in you,rod stewart,18,43,97
lost in your eyes,debbie gibson,19,26,99
lost in your eyes,the jeff healey band,3,92,97
lost in your love,john paul young,9,67,96
lost love,hb barnum,7,58,70
lost one,jayz featuring chrisette michele,8,68,96
lost someone,james brown and the famous flames,13,76,94
lost soul,bruce hornsby  the range with shawn colvin,3,86,98
lost without u,robin thicke,23,35,94
lost without your love,bread,16,23,52
lost you anyway,toby keith,10,85,97
lot of leavin left to do,dierks bentley,19,71,94
lotta love,nicolette larson,19,27,94
lotus flower bomb,wale featuring miguel,20,55,75
loud,mac miller,2,53,90
louder than love,tka,11,77,88
louie louie,fat boys,3,93,92
louie louie,john belushi,4,91,91
louie louie,the kingsmen,18,23,97
louie louie,the sandpipers,7,46,59
louisiana man,pozo seco singers,3,98,98
louisianna,mike kennedy,7,71,76
loungin,ll cool j,29,23,48
love,ashlee simpson,18,47,98
love,kendrick lamar featuring zacari,39,41,85
love,keyshia cole,19,39,100
love,lana del rey,2,44,73
love,musiq soulchild,21,39,65
love,nat king cole,4,88,85
love,the lettermen,10,53,63
love  thy will be done,martika,15,35,97
love again,john denver  sylvie vartan,4,86,98
love aint,eli young band,18,77,94
love aint like that,faith hill,8,75,87
love all over me,monica,17,74,94
love all the hurt away,aretha franklin and george benson,10,60,95
love always,el debarge,12,62,87
