Song,Performer,Weeks on Chart,Average Previous Week Position,Week Position
a taste of honey,martin denny and his orchestra,15,63,82
a taste of honey,tony bennett,3,97,94
a tear,gene mcdaniels,8,53,68
a tear fell,ray charles,5,59,59
a teenager feels it too,denny reed,3,98,97
a teenager in love,dion  the belmonts,15,19,61
a texan and a girl from mexico,anita bryant,4,91,96
a thin line between love  hate from a thin line,htown,20,59,88
a thing of the past,the shirelles,8,64,92
a thousand bad times,post malone,3,44,88
a thousand miles,vanessa carlton,41,20,63
a thousand shadows,the seeds,4,85,82
a thousand stars,kathy young with the innocents,17,17,57
a thousand years,christina perri,26,49,95
a thousand years part 2,christina perri featuring steve kazee,3,60,98
a time to lovea time to cry petite fleur,lou johnson,9,67,83
a touch of pink,jerry wallace,2,93,92
a tribute to a king,william bell,6,90,89
a trick of the night,bananarama,7,86,94
a very special love song,charlie rich,14,31,54
a view to a kill,duran duran,17,21,98
a voice in the choir,al martino,6,89,96
a walk in the black forest,horst jankowski,13,35,70
a walkin miracle,the essex featuring anita humes,10,36,66
a well respected man,the kinks,14,39,74
a whiter shade of pale,procol harum,12,17,44
a whiter shade of pale,the hesitations,2,100,100
a whole new world aladdins theme,peabo bryson  regina belle,23,18,47
a woman a lover a friend,jackie wilson,12,43,89
a woman can change a man,joe tex,7,70,79
a woman in love its not me,tom petty and the heartbreakers,6,85,100
a woman like you,lee brice,20,52,81
a woman needs love just like you do,ray parker jr  raydio,27,35,97
a womans hands,joe tex,5,72,78
a womans love,alan jackson,12,79,90
a womans love,carla thomas,4,83,84
a womans worth,alicia keys,20,29,84
a wonder like you,rick nelson,11,30,54
a wonderful dream,the majors,11,43,75
a word in spanish,elton john,13,44,91
a working mans prayer,arthur prysock,6,76,76
a world of our own,the seekers,10,42,71
a world without heroes,kiss,9,74,96
a world without love,bobby rydell,6,88,92
a world without love,peter and gordon,12,15,30
a world without music,archie bell  the drells,2,92,90
a worried man,the kingston trio,11,36,60
a year ago tonight,the crests,10,55,78
a year without rain,selena gomez  the scene,8,68,100
a young girl,noel harrison,8,64,77
aarons party come get it,aaron carter,15,64,100
abacab,genesis,14,46,98
abadabadango,kim carnes,4,70,93
abc,jackson 5,13,8,30
abc123,levert,17,69,99
abergavenny,shannon,8,69,89
abigail beecher,freddy cannon,8,33,50
abilene,george hamilton iv,14,44,79
about the money,ti featuring young thug,20,62,91
about this thing called love,fabian,7,40,61
about us,brooke hogan featuring paul wall,17,55,83
about you,trey songz,3,90,83
about you now,miranda cosgrove,4,61,90
above the stars,mr acker bilk,6,77,86
abracadabra,the de franco family,12,52,80
abracadabra,the steve miller band,25,19,99
abraham martin and john,dion,14,16,42
abraham martin and john,moms mabley,6,52,57
abraham martin and john,smokey robinson  the miracles,6,47,48
absence of the heart,deana carter,2,83,87
absolute beginners,david bowie,9,66,99
absolutely right,five man electrical band,8,39,54
absolutely story of a girl,nine days,27,26,71
abyssinia jones,edwin starr,2,100,98
acapella,karmin,8,81,93
accidentally in love,counting crows,20,54,82
according to you,orianthi,21,29,55
ace of spade,ov wright,8,63,76
achy breaky heart,billy ray cyrus,25,20,47
acquainted,the weeknd,18,80,99
across 110th street,bobby womack  peace,6,73,82
across the miles,survivor,6,81,98
across the river,bruce hornsby  the range,16,45,97
act a fool,ludacris,11,52,100
act naturally,the beatles,7,59,72
act up,city girls,21,38,63
action,evelyn champagne king,7,82,99
action,freddy cannon,9,32,52
action,sweet,14,42,98
action,terror fabulous featuring nadine sutherland,20,56,90
action speaks louder than words,chocolate milk,5,82,85
adam and eve,paul anka,2,94,90
add some music to your day,the beach boys,5,78,85
addams family whoomp,tag team,3,84,96
addams groove,mc hammer,20,42,98
adderall corvette corvette,popp hunna,6,84,99
addicted,saving abel,34,49,98
addicted,simple plan,19,59,88
addicted to love,robert palmer,22,29,99
addictive,truth hurts featuring rakim,20,22,53
adeste fideles oh come all ye faithful,bing crosby,3,68,58
adia,sarah mclachlan,27,14,33
adicto,tainy anuel aa  ozuna,2,86,98
adidas,killer mike featuring big boi,9,71,100
adios amigo,jim reeves,6,95,95
adore you,harry styles,50,19,53
adore you,miley cyrus,18,40,92
adorn,miguel,33,36,77
adrienne,tommy james,3,95,95
adult education,daryl hall john oates,17,30,98
adventure of a lifetime,coldplay,20,47,76
advice for the young at heart,tears for fears,4,93,98
aerials,system of a down,20,67,91
affair of the heart,rick springfield,18,31,100
africa,toto,21,25,93
africa,weezer,15,65,96
african waltz,cannonball adderley orchestra,6,57,66
africanismgimme some lovin,kongas,7,90,95
afrikaan beat,bert kaempfert and his orchestra,10,56,73
afro puffs,the lady of rage,11,69,98
afrostrut,the niteliters,8,61,73
after 12 before 6,sam salter,16,62,95
after a few,travis denning,15,50,90
after all,al jarreau,9,83,98
after all love theme from chances are,cher  peter cetera,20,36,88
after all this time,merry clayton,7,77,89
after dark,drake featuring static major  ty dolla ign,3,48,82
after hours,the weeknd,7,49,100
after i cry tonight,lanier  co,13,66,95
after loving you,della reese,2,99,95
after midnight,eric clapton,12,40,68
after midnight,jj cale,11,59,83
after midnight,maggie bell,3,98,100
after party,don toliver,20,76,94
after party,koffee brown,20,67,94
after the dance,marvin gaye,5,78,100
after the fall,journey,12,37,91
after the feeling is gone,five flights up,3,98,98
after the fire,roger daltrey,13,66,99
after the fire is gone,conway twitty  loretta lynn,6,71,78
after the glitter fades,stevie nicks,11,48,93
after the goldrush,prelude,13,47,99
after the love has gone,earth wind  fire,17,21,73
after the lovin,engelbert humperdinck,19,27,62
after the rain,nelson,22,32,90
after the summers gone,pc quest,11,57,94
after you,dionne warwick,6,72,93
afterglow,ed sheeran,10,45,94
afternoon delight,starland vocal band,20,27,98
afternoons  coffeespoons,crash test dummies,10,76,100
again,faith evans,14,72,93
again,fetty wap,26,42,50
again,janet jackson,23,11,44
again,lenny kravitz,32,18,59
again and again,jewel,2,80,89
again tonight,john mellencamp,13,55,97
against all odds take a look at me now,phil collins,24,26,97
against the wind,bob seger,17,27,98
age aint nothing but a number,aaliyah,8,80,95
agent doubleosoul,edwin starr,11,39,66
ah leah,donnie iris,18,55,98
ahab the arab,ray stevens,11,20,47
ai no corrida inokoreeda,quincy jones,12,50,95
ai se eu te pego,michel telo,12,94,99
aim for the moon,pop smoke featuring quavo,2,34,89
aiming at your heart,the temptations,5,73,95
aint 2 proud 2 beg,tlc,22,26,80
aint always the cowboy,jon pardi,18,71,93
aint back yet,kenny chesney,13,63,85
aint doing too bad part 1,bobby bland,6,61,66
aint even done with the night,john cougar,21,40,91
aint gonna be that way,marv johnson,7,89,96
aint gonna bump no more with no big fat woman,joe tex,18,41,90
aint gonna cry no more,brenda lee,4,84,86
aint gonna eat out my heart anymore,angel,8,60,92
aint gonna hurt nobody,brick,4,94,93
aint gonna hurt nobody,kid n play,19,67,97
aint gonna kiss ya,the ribbons,4,89,93
aint gonna lie,keith,10,65,91
aint gonna rest till i get you,the five stairsteps,2,89,87
aint gonna tell anybody,jimmy gilmer and the fireballs,7,66,75
aint got no home,the band,7,83,93
aint got no i got life,nina simone,4,97,96
aint got time,the impressions,6,63,66
aint i,yung la featuring young dro  ti,19,65,97
aint it a sad thing,r dean taylor,5,79,79
aint it a shame,major lance,3,92,91
aint it baby,the miracles,6,62,77
aint it fun,paramore,24,29,75
aint it funky now part 1,james brown,11,38,49
aint it funny,jennifer lopez featuring ja rule,27,17,53
aint it the truth,mary wells,8,59,71
aint it true,andy williams,7,58,69
aint leavin without you,jaheim,3,98,100
aint love a bitch,rod stewart,12,41,94
aint my fault,zara larsson,7,85,90
aint no future in yo fronting,mc breed  dfc,20,76,99
aint no love in the heart of the city,bobby bland,7,96,100
aint no mountain high enough,diana ross,14,11,31
aint no mountain high enough,marvin gaye  tammi terrell,12,35,62
aint no niggadead presidents,jayz featuring foxxy brown,20,62,70
aint no other man,christina aguilera,20,17,53
aint no playa,rappin 4tay,11,86,99
aint no rest for the wicked,cage the elephant,11,93,99
aint no stoppin us now,mcfadden  whitehead,18,34,92
aint no sunshine,bill withers,16,26,74
aint no sunshine,kris allen,2,37,94
aint no way,aretha franklin,8,28,37
aint no way to treat a lady,helen reddy,16,34,97
aint no woman like the one ive got,four tops,15,26,68
aint nobody,chaka khan,19,47,99
aint nobody,diana king,4,95,100
aint nobody from beavis and butthead do america,ll cool j,11,65,94
aint nobody home,bb king,12,60,73
aint nobody home,howard tate,7,80,92
aint nobody like you,miki howard,4,90,98
aint nobodykissing you,faith evans,16,74,100
aint nothin but a house party,the show stoppers,5,90,96
aint nothin goin on but the rent,gwen guthrie,13,64,95
aint nothing bout you,brooks  dunn,20,39,67
aint nothing gonna keep me from you,teri desario,12,66,88
aint nothing like the real thing,aretha franklin,7,65,76
aint nothing like the real thing,donny  marie osmond,13,38,67
aint nothing like the real thing,marvin gaye  tammi terrell,13,26,56
aint nothing like the real thingyoure all i need to get by,chris christian with amy holland,3,88,88
aint nothing you can do,bobby bland,9,44,89
aint nuthin but a she thing,saltnpepa,15,62,98
aint seen love like that,mr big,6,87,100
aint she sweet,the beatles,9,40,67
aint so easy,david  david,11,70,99
aint that a groove part 1,james brown and the famous flames,7,52,54
aint that a shame,cheap trick,10,51,72
aint that a shame,the 4 seasons,9,38,65
aint that enough for you,john davis and the monster orchestra,4,91,100
aint that just like a woman,fats domino,8,47,59
aint that just like me,the searchers,6,73,80
aint that just the way,lutricia mcneal,16,79,99
aint that loving you baby,elvis presley,10,31,47
aint that loving you for more reasons than one,isaac hayes  david porter,4,92,91
aint that loving you for more reasons than one,luther ingram,9,63,82
aint that peculiar,diamond reo,6,65,75
aint that peculiar,fanny,3,86,85
aint that peculiar,marvin gaye,12,25,58
aint too proud to beg,rick astley,3,91,98
aint too proud to beg,the rolling stones,10,32,57
aint too proud to beg,the temptations,13,28,44
aint understanding mellow,jerry butler  brenda lee eager,18,52,95
aint wastin time no more,the allman brothers band,4,78,80
aint worried about nothin,french montana,13,75,98
aint worth the whiskey,cole swindell,19,66,90
air disaster,albert hammond,4,88,92
air force ones,nelly featuring kyjuan ali  murphy lee,20,16,41
airplane song my airplane,the royal guardsmen,6,61,72
airplanes,bob featuring hayley williams,30,11,47
airport love theme gwen and vern,vincent bell,8,43,50
ajax airlines,hudson and landry,6,79,83
ajax liquor store,hudson and landry,14,59,86
al di la,connie francis,5,96,94
al di la,emilio pericoli,14,32,81
alabam,cowboy copas,12,76,88
alabam,pat boone,8,66,75
alabama getaway,grateful dead,6,76,94
alabama wild man,jerry reed,8,74,87
aladdin,bobby curtola,2,93,92
albert flasherbroken,the guess who,13,48,74
alcohol,brad paisley,18,66,91
aldila,the ray charles singers,6,47,54
alejandro,lady gaga,23,21,50
alfie,cher,6,44,52
alfie,cilla black,3,98,97
alfie,dionne warwick,17,46,88
alfie,eivets rednow,6,78,84
alibis,sergio mendes,19,49,93
alibis,tracy lawrence,12,82,96
alice,avril lavigne,3,71,95
alice in wonderland,neil sedaka,10,34,59
alice long youre still my favorite girlfriend,tommy boyce  bobby hart,10,47,66
alices rock  roll restaurant,arlo guthrie,2,98,97
alien,atlanta rhythm section,15,54,95
alimony,frankie ford,2,100,97
alive,bee gees,7,43,54
alive,krewella,20,57,89
alive,pod,20,63,87
alive  kicking,simple minds,20,21,86
alive again,chicago,13,37,94
all,james darren,8,58,84
all 4 love,color me badd,28,17,48
all about it,hoodie allen featuring ed sheeran,4,85,78
all about my girl,jimmy mcgriff,11,67,76
all about soul,billy joel,20,46,77
all about that bass,meghan trainor,47,17,54
all about tonight,blake shelton,19,76,98
all about you,pretty in pink,3,96,99
all alone am i,brenda lee,15,18,60
all alone on christmas from home alone 2,darlene love,3,86,100
all along,blessid union of souls,14,77,98
all along the watchtower,the jimi hendrix experience,9,31,36
all american girls,sister sledge,5,84,100
all around me,flyleaf,20,58,78
all around the world,justin bieber featuring ludacris,9,70,97
all around the world,lisa stansfield,22,29,98
all because of you,marques houston featuring young rome,10,83,95
all by myself,celine dion,20,39,85
all by myself,eric carmen,19,26,65
all cried out,allure featuring 112,25,16,47
all cried out,denine with collages adam marano,11,84,98
all cried out,dusty springfield,7,51,59
all cried out,lisa lisa and cult jam with full force featuring paul anthony  bow legged lou,26,43,97
